1,Community,1,10,17,33,37,45,75,76,,,,,,,,,,
1,Program Process,2,16,18,22,23,26,28,38,,,,,,,,,,
1,Employee Benefits,3,9,19,21,24,60,63,77,,,,,,,,,,
1,Employee Quality,4,5,14,27,31,35,39,42,57,64,,,,,,,,
1,Management Efficiency,6,11,29,30,41,55,58,72,74,80,,,,,,,,
1,Store Issues,7,43,44,46,68,70,,,,,,,,,,,,
1,Information Technology,8,15,20,50,51,52,53,67,,,,,,,,,,
1,Employee Relations,12,48,59,,,,,,,,,,,,,,,
1,Expansion,13,49,73,78,,,,,,,,,,,,,,
1,Community Relations,25,34,62,,,,,,,,,,,,,,,
1,Customer,32,36,40,61,66,,,,,,,,,,,,,
1,Management Issues,47,54,56,65,69,,,,,,,,,,,,,
1,Partnership,71,79,,,,,,,,,,,,,,,,
2,Community Relations,1,10,17,22,25,34,37,62,75,76,,,,,,,,
2,Staff Concerns,3,9,11,12,16,31,47,63,64,72,74,,,,,,,
2,Company Philosophy,2,41,42,45,,,,,,,,,,,,,,
2,Ways to Communicate,4,6,,,,,,,,,,,,,,,,
2,Interface with Client,5,7,32,33,36,40,61,66,68,,,,,,,,,
2,Information Technology,8,15,20,28,38,50,51,52,53,67,,,,,,,,
2,Management Concerns,14,29,30,39,48,55,56,58,59,69,73,80,,,,,,
2,Staff Benefits,19,21,24,27,35,54,57,60,65,77,,,,,,,,
2,Stores,43,44,46,49,70,,,,,,,,,,,,,
2,Partnership,71,78,79,,,,,,,,,,,,,,,
2,Program Plants,13,18,23,26,,,,,,,,,,,,,,
3,Financial Considerations,30,58,59,69,72,80,,,,,,,,,,,,
3,Physical Plant,13,16,23,26,,,,,,,,,,,,,,
3,Partnership,10,37,49,71,73,76,78,79,,,,,,,,,,
3,Advertising,1,17,22,45,75,,,,,,,,,,,,,
3,Making Good Employees,9,14,27,31,35,54,56,57,60,64,77,,,,,,,
3,Teambuilding,2,4,19,42,51,53,55,65,,,,,,,,,,
3,Client,32,33,36,40,61,66,,,,,,,,,,,,
3,Managers' roles,6,11,12,18,29,39,41,47,48,74,,,,,,,,
3,Information Technology,8,15,20,28,38,50,52,67,,,,,,,,,,
3,Benefits,3,21,24,63,,,,,,,,,,,,,,
3,Community Base,25,34,62,,,,,,,,,,,,,,,
3,Interface with Client,5,7,43,44,46,68,70,,,,,,,,,,,
4,Community,1,17,37,75,,,,,,,,,,,,,,
